Continent,Region,BU,Site,Site-Store,Default Bin,APN,Part Class,Part Description,Part Criticality,Price per Unit,Inventory Units,UOM,Min Level,Max Level,Inventory Status,Total Inventory Units Above Max,Inventory Value ($),#Parts installed,#Equipments,Min Equipment Criticality,Preferred Supplier Name,Preferred Supplier Reference,Preferred Manufacturer,Preferred Manufacturer Part Number
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-12,1068273,ROLLER,ROLLER,03 LOW,60.491333,3,EA,1,2,Above Max,1,181.473999,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-01,1059995,ROLLER,ROLLER,02 MED,33.92,6,EA,2,3,Above Max,3,203.52,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-02,1059996,ROLLER,ROLLER,02 MED,33.79,4,EA,2,3,Above Max,1,135.16,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-03,1060001,ROLLER,ROLLER,02 MED,36.02,4,EA,1,3,Above Max,1,144.08,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-04,1059999,ROLLER,ROLLER,02 MED,32.89,4,EA,1,3,Above Max,1,131.56,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-05,1059985,ROLLER,ROLLER,02 MED,36.13,4,EA,1,3,Above Max,1,144.52,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-06,1059997,ROLLER,ROLLER,02 MED,33.58,4,EA,1,3,Above Max,1,134.32,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-07,1059975,ROLLER,ROLLER,02 MED,30.15,4,EA,1,3,Above Max,1,120.6,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-08,1060000,ROLLER,ROLLER,02 MED,32.93,4,EA,1,3,Above Max,1,131.72,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-09,1059983,ROLLER,ROLLER,02 MED,36.7,4,EA,1,3,Above Max,1,146.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-10,1059987,ROLLER,ROLLER,02 MED,35.67,4,EA,1,3,Above Max,1,142.68,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-11,1059978,ROLLER,ROLLER,02 MED,37.63,4,EA,1,3,Above Max,1,150.52,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-12,1059969,ROLLER,ROLLER,02 MED,44.715,4,EA,1,2,Above Max,2,178.86,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-13,N35120Z,ROLLER,ROLLER,02 MED,25.245,4,EA,1,2,Above Max,2,100.98,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-15,1059968,ROLLER,ROLLER,01 HIGH,52.8725,5,EA,2,3,Above Max,2,264.3625,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-16,1059965,ROLLER,ROLLER,02 MED,37.3,6,EA,1,3,Above Max,3,223.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-17,1059973,ROLLER,ROLLER,02 MED,32.68,4,EA,2,3,Above Max,1,130.72,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-C-18,1059966,ROLLER,ROLLER,02 MED,32.23,6,EA,1,3,Above Max,3,193.38,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-01,41803Z,ROLLER,ROLLER,02 MED,52.45,4,EA,2,3,Above Max,1,209.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-02,1059993,ROLLER,ROLLER,02 MED,34.31,4,EA,2,3,Above Max,1,137.24,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-03,1059976,ROLLER,ROLLER,02 MED,43.3075,5,EA,2,3,Above Max,2,216.5375,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-04,1059980,ROLLER,ROLLER,02 MED,37.28,4,EA,1,3,Above Max,1,149.12,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-05,1059994,ROLLER,ROLLER,02 MED,34.19,4,EA,1,3,Above Max,1,136.76,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-06,1059998,ROLLER,ROLLER,02 MED,33.31,4,EA,2,3,Above Max,1,133.24,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-07,1059988,ROLLER,ROLLER,02 MED,47.1,4,EA,2,3,Above Max,1,188.4,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-08,1059992,ROLLER,ROLLER,02 MED,34.61,4,EA,1,3,Above Max,1,138.44,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-09,1059989,ROLLER,ROLLER,02 MED,35.13,4,EA,2,3,Above Max,1,140.52,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-10,1059991,ROLLER,ROLLER,02 MED,34.86,4,EA,1,3,Above Max,1,139.44,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-11,41420,ROLLER,ROLLER,03 LOW,38.39,4,EA,1,2,Above Max,2,153.56,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-12,1059977,ROLLER,ROLLER,02 MED,37.61,4,EA,1,3,Above Max,1,150.44,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-16,1059990,ROLLER,ROLLER,02 MED,34.96,4,EA,2,3,Above Max,1,139.84,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-17,1059984,ROLLER,ROLLER,02 MED,36.25,4,EA,1,3,Above Max,1,145,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-D-18,1059982,ROLLER,ROLLER,02 MED,36.91,4,EA,1,3,Above Max,1,147.64,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-C-01,N38806,CABLE,CABLE,03 LOW,55.3,8,EA,1,3,Above Max,5,442.4,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-D-02,1112395,WIRE,WIRE,01 HIGH,36.64,3,EA,1,2,Above Max,1,109.92,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-D-03,38048,CABLE,CABLE,03 LOW,40.555,4,EA,1,2,Above Max,2,162.22,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-F-01,3241826,CABLE,CABLE,01 HIGH,528,3,EA,1,2,Above Max,1,1584,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-F-03,10048982,CABLE,CABLE,02 MED,332.4643,3,EA,1,2,Above Max,1,997.3929,3,3,1,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-H-03,10049025,CABLE,CABLE,01 HIGH,181.920933,3,EA,1,2,Above Max,1,545.762799,3,3,1,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-H-03,3041554,CORD,CORD,01 HIGH,57.14,3,EA,1,2,Above Max,1,171.42,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A03-K-01,1064144,BELT,BELT,02 MED,24.34,5,EA,1,4,Above Max,1,121.7,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-02B,3040716,SOCKET,SOCKET,02 MED,85.88,3,EA,1,2,Above Max,1,257.64,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-02C,3128171,BOLT,BOLT,03 LOW,0.142571,14,EA,2,3,Above Max,11,1.995994,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-03,73755,BUTTON,BUTTON,02 MED,18.766667,3,EA,1,2,Above Max,1,56.300001,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-03A,3040715,CABLE,CABLE,02 MED,193.511433,3,EA,1,2,Above Max,1,580.534299,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-05C,3040723,BUTTON,BUTTON,02 MED,7.3,3,EA,1,2,Above Max,1,21.9,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-A-06C,3040727,LIGHT,LIGHT,02 MED,18.56,3,EA,1,2,Above Max,1,55.68,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-B-02A,41372,RELAY,RELAY,02 MED,23.93,3,EA,1,2,Above Max,1,71.79,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-B-06A,10049048,CABLE,CABLE,02 MED,154.324575,3,EA,1,2,Above Max,1,462.973725,3,3,1,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-C-02B,1004727,BELT,BELT,02 MED,9.71,10,EA,1,2,Above Max,8,97.1,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-C-03B,116945,REFLECTR,REFLECTR,01 HIGH,54.16,11,EA,2,5,Above Max,6,595.76,3,3,1,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-C-04B,3067701,HOOK,HOOK,02 MED,62.13,9,EA,1,2,Above Max,7,559.17,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-C-06A,3266571,LIGHT,LIGHT,02 MED,43.696667,11,EA,1,3,Above Max,8,480.663337,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-C-06B,3241971,SPLITTER,SPLITTER,02 MED,80.885714,4,EA,1,2,Above Max,2,323.542856,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-D-02A,3249169,BEARING,BEARING,02 MED,87.77,2,EA,0,1,Above Max,1,175.54,204,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-E-05B,83424Z,CRCTBRKR,CRCTBRKR,02 MED,267.8,3,EA,1,2,Above Max,1,803.4,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-F-01B,3128160,PULLEY,PULLEY,02 MED,34.43,3,EA,1,2,Above Max,1,103.29,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-F-04A,1117682,LIGHT,LIGHT,02 MED,69.165,3,EA,1,2,Above Max,1,207.495,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-F-05B,1111160,SENSOR,SENSOR,02 MED,836.605,3,EA,1,2,Above Max,1,2509.815,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-G-01A,3040653,PULLEY,PULLEY,02 MED,132.86,3,EA,1,2,Above Max,1,398.58,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-G-04,79353Z,VALVE,VALVE,02 MED,72.99,20,EA,1,3,Above Max,17,1459.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-G-06A,43201,BUTTON,BUTTON,03 LOW,109.634286,6,EA,2,3,Above Max,3,657.805716,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-G-06C,1003064Z,RELAY,RELAY,03 LOW,32.17,22,EA,1,3,Above Max,19,707.74,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-02C,19745,CRCTBRKR,CRCTBRKR,03 LOW,26.59,4,EA,1,3,Above Max,1,106.36,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-03A,19743,KIT,KIT,03 LOW,11.18,5,EA,1,3,Above Max,2,55.9,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-03B,1004588,FUSE,FUSE,02 MED,47,3,EA,1,2,Above Max,1,141,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-04A,23016,RECEPT,RECEPT,02 MED,56.94,4,EA,1,2,Above Max,2,227.76,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-04C,13494,FUSE,FUSE,03 LOW,7.62,6,BG,1,3,Above Max,3,45.72,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-05A,19744,CRCTBRKR,CRCTBRKR,02 MED,12.198,9,EA,1,3,Above Max,6,109.782,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-H-05B,13490,FUSE,FUSE,03 LOW,6.933076,13,EA,1,3,Above Max,10,90.129988,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-I-02A,1070399,BOARD,BOARD,02 MED,291,3,EA,1,2,Above Max,1,873,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-I-03A,44274,PLC,PLC,02 MED,193.43,3,EA,1,2,Above Max,1,580.29,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-I-04A,1059957,BEACON,BEACON,02 MED,67.8,4,EA,1,3,Above Max,1,271.2,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-I-06A,79725Z,PULLEY,PULLEY,02 MED,240.53,5,EA,2,3,Above Max,2,1202.65,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-J-01B,94146,ELEC,ELEC,02 MED,73.57,3,EA,1,2,Above Max,1,220.71,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-J-02B,3022098,REFLECTR,REFLECTR,02 MED,54.16,3,EA,1,2,Above Max,1,162.48,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-K-01B,1119639,SPROCKET,SPROCKET,02 MED,402.75,6,EA,1,3,Above Max,3,2416.5,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-K-04A,38325,FILLER,FILLER,02 MED,76.9,4,EA,1,2,Above Max,2,307.6,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-L-01A,43199,ENCLSRE,ENCLSRE,02 MED,3.98,5,EA,1,3,Above Max,2,19.9,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A04-L06B,3040731,BEARING,BEARING,01 HIGH,21.429,5,EA,2,4,Above Max,1,107.145,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A05-B-07,1115746,ROLLER,ROLLER,02 MED,96.246667,3,EA,1,2,Above Max,1,288.740001,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A05-B-09,3012849,WHEEL,WHEEL,03 LOW,10.66,200,EA,2,3,Above Max,197,2132,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-B-09,3056965,ROLLER,ROLLER,02 MED,26.793333,3,EA,1,2,Above Max,1,80.379999,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-B-17,3040664,ROLLER,ROLLER,02 MED,126.17,5,EA,2,3,Above Max,2,630.85,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-B-18,3040688,ROLLER,ROLLER,02 MED,34.38,5,EA,2,3,Above Max,2,171.9,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-C-04,3040712,GEARMTR,GEARMTR,02 MED,2455.73,5,EA,1,2,Above Max,3,12278.65,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-C-16,3056946,ROLLER,ROLLER,02 MED,52.68,10,EA,1,2,Above Max,8,526.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-D-01,3056955,ROLLER,ROLLER,02 MED,34.94,3,EA,1,2,Above Max,1,104.82,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-D-06,3040662,ROLLER,ROLLER,02 MED,125.23,5,EA,2,3,Above Max,2,626.15,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-D-10,3249172,GUIDE,GUIDE,02 MED,86.77,3,EA,1,2,Above Max,1,260.31,102,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-D-13,3128167,TRACK,TRACK,02 MED,169.23,3,EA,1,2,Above Max,1,507.69,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A06-D-16,3128178,TRACK,TRACK,02 MED,169.23,3,EA,1,2,Above Max,1,507.69,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A07-A-02,3174641,CONTROL,CONTROL,02 MED,1544.752,5,EA,1,3,Above Max,2,7723.76,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A07-D-03,13531,SWITCH,SWITCH,03 LOW,161.52,3,EA,1,2,Above Max,1,484.56,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A07-E-01,1000882,MODULE,MODULE,02 MED,396.396667,3,EA,1,2,Above Max,1,1189.190001,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-B-02,3001294,CASTER,CASTER,01 HIGH,42.67,4,EA,1,2,Above Max,2,170.68,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-01,3001306,PROTECTO,PROTECTO,02 MED,55.04,4,EA,1,2,Above Max,2,220.16,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-01,3001309,PROTECTO,PROTECTO,02 MED,48.66,4,EA,1,2,Above Max,2,194.64,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-01,3001310,CLIP,CLIP,02 MED,1.67,20,EA,2,3,Above Max,17,33.4,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-02,3399683,END CAP,END CAP,02 MED,1.51,4,EA,1,2,Above Max,2,6.04,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-02,3399685,END CAP,END CAP,02 MED,1.9,6,EA,1,2,Above Max,4,11.4,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-02,N34577Z,CAP,CAP,02 MED,1.68,12,EA,2,3,Above Max,9,20.16,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-03,3001293,HOLDER,HOLDER,02 MED,141.2,4,EA,1,3,Above Max,1,564.8,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-03,3001302,BUSHING,BUSHING,02 MED,3.25,4,EA,1,2,Above Max,2,13,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-03,3001308,LABEL,LABEL,02 MED,3,12,EA,2,3,Above Max,9,36,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-04,3001290,BRACKET,BRACKET,02 MED,36.54,6,EA,2,3,Above Max,3,219.24,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A08-D-04,3001292,BRACKET,BRACKET,02 MED,36.54,6,EA,2,3,Above Max,3,219.24,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A09-A-01,3128181,CABLE,CABLE,01 HIGH,609.4991,5,EA,1,3,Above Max,2,3047.4955,3,3,1,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A09-D-01,1070142,LIGHT,LIGHT,02 MED,107.01,4,EA,1,3,Above Max,1,428.04,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A09-G-03,10049047,CABLE,CABLE,02 MED,137.88665,3,EA,1,2,Above Max,1,413.65995,3,3,1,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-A-04,71258,SPROCKET,SPROCKET,02 MED,351,4,EA,0,2,Above Max,2,1404,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-A-05,N47292,BEARING,BEARING,03 LOW,180.544445,6,EA,2,4,Above Max,2,1083.26667,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-A-06,1068937,ENCODER,ENCODER,02 MED,258,3,EA,0,1,Above Max,2,774,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-B-06,96584,ROLLER,ROLLER,02 MED,49,7,EA,1,4,Above Max,3,343,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-B-09,41900Z,ROLLER,ROLLER,02 MED,52.14,5,EA,1,2,Above Max,3,260.7,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-B-11,1064422,ROLLER,ROLLER,02 MED,49,4,EA,1,3,Above Max,1,196,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-B-14,86038Z,ROLLER,ROLLER,03 LOW,41.32,6,EA,3,4,Above Max,2,247.92,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-B-19,73740,ROLLER,ROLLER,02 MED,36.07,3,EA,1,2,Above Max,1,108.21,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-C-08,N37943,ROLLER,ROLLER,03 LOW,11.62,7,EA,3,4,Above Max,3,81.34,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-C-10,1059842,ROLLER,ROLLER,03 LOW,203,6,EA,1,2,Above Max,4,1218,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-C-11,86010Z,ROLLER,ROLLER,02 MED,223.2,5,EA,0,1,Above Max,4,1116,56,14,2,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-C-12,1069771,ROLLER,ROLLER,03 LOW,111.52,15,EA,3,4,Above Max,11,1672.8,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-C-14,1064426,PULLEY,PULLEY,02 MED,1170,4,EA,1,3,Above Max,1,4680,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-D-05,41886Z,ROLLER,ROLLER,03 LOW,54.58,4,EA,2,3,Above Max,1,218.32,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-D-10,86017Z,ROLLER,ROLLER,03 LOW,19.15,6,EA,3,4,Above Max,2,114.9,504,14,2,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-D-11,86016Z,ROLLER,ROLLER,03 LOW,30.93,5,EA,3,4,Above Max,1,154.65,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-D-16,94685,PULLEY,PULLEY,02 MED,262.5,4,EA,1,2,Above Max,2,1050,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-E-02,41905Z,ROLLER,ROLLER,03 LOW,57.48,6,EA,3,4,Above Max,2,344.88,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A01-E-05,86039Z,ROLLER,ROLLER,02 MED,48.52,5,EA,2,3,Above Max,2,242.6,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A02-C-02,96566,PULLEY,PULLEY,02 MED,864,3,EA,1,2,Above Max,1,2592,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A02-C-05,3012424,ROLLER,ROLLER,02 MED,760.84,3,EA,1,2,Above Max,1,2282.52,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A03-E-08,3298155,ROLLER,ROLLER,01 HIGH,130,4,EA,1,3,Above Max,1,520,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A04-C-01,1116857,BELT,BELT,02 MED,405,4,EA,1,2,Above Max,2,1620,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A07-A-01,1070531,CORD,CORD,03 LOW,375.308148,5,EA,2,3,Above Max,2,1876.54074,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A07-D-01,1060201,ASSEMBLY,ASSEMBLY,01 HIGH,547.68,3,EA,1,2,Above Max,1,1643.04,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A07-D-03,1070806,CONTROL,CONTROL,02 MED,564,2,EA,0,1,Above Max,1,1128,0,0,0,,,,
,CALIFORNIA,,SITE_B,SITE_B-MAIN,A07-E-01,1001913,SCANNER,SCANNER,01 HIGH,4643,4,EA,0,2,Above Max,2,18572,0,0,0,,,,
